ds,yhat,yhat_lower,yhat_upper
2019-07-01,15016.735283641954,11134.131784449248,19284.531101876186
2019-07-02,16670.146690147,12755.623557508381,20972.479976930004
2019-07-03,16674.130606844585,12574.957568263973,20571.96267567673
2019-07-04,16347.005825868928,12419.194608207501,20149.270866114774
2019-07-05,15627.287289224989,11714.568729690462,19596.227452976545
2019-07-06,6278.492923687183,2453.4113954079135,10615.659833006437
2019-07-07,5145.307993266468,1259.6743481424826,9284.061956357536
2019-07-08,14351.743951693605,10100.512985956246,18782.70806361829
2019-07-09,16144.784118948844,11916.39196517309,20165.87223992768
2019-07-10,16299.829568241668,12351.99873994787,20023.293726724332
2019-07-11,16132.48372543501,11927.698812112807,20036.405954337657
2019-07-12,15578.333318038067,11675.764297011194,19693.98463087541
2019-07-13,6397.815381805378,2153.280888768436,10227.757441232616
2019-07-14,5432.44523984403,1297.829315955443,9441.134095452726
2019-07-15,14803.0410860195,11048.581390096975,19322.023316157658
2019-07-16,16753.436102466767,12727.066533751386,20668.878882442215
2019-07-17,17055.990087760765,13138.657728159673,21064.021682028204
2019-07-18,17023.437703481686,13261.695089529285,21056.522832772727
2019-07-19,16588.729625055606,12387.088824214137,20732.244504177022
2019-07-20,7509.955026555566,3265.429903766415,11556.714705753162
2019-07-21,6626.619134204724,2269.7683869627804,10809.275937151619
2019-07-22,16057.910424359394,11986.08305430193,19940.252132779093
2019-07-23,18046.44748452717,14114.184248334112,22061.486067861242
2019-07-24,18363.81676766456,14402.414401960212,22242.01487178499
2019-07-25,18322.43778101604,14300.870973352698,22535.20635837599
2019-07-26,17855.411621094863,13397.844426446089,21750.329773736255
2019-07-27,8721.4411099664,4554.282219418772,12496.43611057079
2019-07-28,7761.096297229505,3786.382142549095,11915.338052479037
2019-07-29,17095.060136179975,13037.245239593234,20869.65023616004
2019-07-30,18967.844785336816,15105.61903850335,22982.77601549843
2019-07-31,19153.29038745406,15141.740411709045,23378.039207365277
2019-08-01,18966.38366879477,15034.223129913025,23006.40280007792
2019-08-02,18343.0532322136,14425.076153490829,22287.072443886234
2019-08-03,9045.030904555277,4771.352701378712,12924.036687877
2019-08-04,7916.054127164031,4156.849448280665,11929.56425745019
2019-08-05,17080.045518169536,13113.876200523066,20832.92269626541
2019-08-06,18784.761444389707,14429.347012674489,22595.600684323552
2019-08-07,18807.222882105398,15049.762508598462,22959.979316809447
2019-08-08,18465.46734504017,14655.975082569279,22942.072472779182
2019-08-09,17698.28016910691,13726.323347788,21684.150855416097
2019-08-10,8269.995879984606,4243.973612214751,12092.722368977338
2019-08-11,7026.64591975316,3047.3320226439973,10964.319438162707
2019-08-12,16094.090041791895,12189.168078829089,19944.73042660983
2019-08-13,17721.62426137477,13785.21542245668,21630.67700424991
2019-08-14,17687.379537166118,13503.120256510349,21501.330537550966
2019-08-15,17310.050682348592,13253.803095195135,21455.315288243204
2019-08-16,16528.61432685993,12744.326069869401,20637.868586038425
2019-08-17,7107.126984704559,3273.72218541907,10943.802366256836
2019-08-18,5890.879619916061,1956.3306595398524,9777.914638959091
2019-08-19,15004.545922195855,11131.393025425052,18878.670793506753
2019-08-20,16695.816867405232,12518.321845267887,20854.559169682918
2019-08-21,16740.83521479643,12937.302248,20746.295897274827
