ds,yhat,yhat_lower,yhat_upper
2019-07-01,22288.128592731613,17579.521436981217,26807.84034380104
2019-07-02,24229.497996123057,19740.64267497263,28703.72272434039
2019-07-03,24134.938303587543,19755.08252101308,28615.229198421406
2019-07-04,23750.419050820932,19209.921737766017,28416.478332088143
2019-07-05,22837.528845777575,18419.18347150762,27502.147577102816
2019-07-06,14436.898083681976,9759.249264344213,19185.945093726998
2019-07-07,12767.957080020888,8180.9287843390075,16990.786258321656
2019-07-08,21478.42173579583,17455.605955983083,26422.684526754838
2019-07-09,23527.438504520396,19110.50213243789,27856.32749035352
2019-07-10,23552.29907288771,18765.957814539168,28177.650905261147
2019-07-11,23296.738776903032,18944.917563300725,28091.50559773693
2019-07-12,22519.893125852454,18374.31385679584,27301.66413577698
2019-07-13,14259.772503411448,9977.173626274995,18880.038480573876
2019-07-14,12733.075816128576,8283.928500703067,17289.022969932066
2019-07-15,21584.733982521797,17153.070998810195,26322.211603358177
2019-07-16,23771.11376927893,19191.123125370472,28690.67629982082
2019-07-17,23926.791108156234,19526.161597886963,28222.606725449645
2019-07-18,23792.90665099874,19464.8964840874,27825.497937606062
2019-07-19,23126.17671048063,18425.933596174582,27583.847214176
2019-07-20,14962.418498375337,10212.34150512469,19398.715688436667
2019-07-21,13516.409364373969,8512.128867909181,17992.24982851184
2019-07-22,22431.469975259606,18087.166514746772,26950.57065206786
2019-07-23,24662.70111940809,19987.595205863425,29127.065178900226
2019-07-24,24843.78259817132,20261.830137261746,29596.6906200937
2019-07-25,24715.34645140959,20307.537203065032,29722.517191670664
2019-07-26,24033.997326542478,19379.90110969578,28655.0000083343
2019-07-27,15835.838741857728,11388.191821876651,20290.704595522773
2019-07-28,14336.32496591211,9823.142263587762,18892.274360235624
2019-07-29,23179.828648790244,18653.12247231415,27764.915929912524
2019-07-30,25322.854259149914,20721.57838446251,29897.69374024148
2019-07-31,25400.80631954393,20829.93214956479,29838.611495107827
2019-08-01,25156.325370495088,20497.69277890322,29794.060855878975
2019-08-02,24348.265289950607,19855.806604960304,28797.802979332497
2019-08-03,16015.171654596197,11530.014270191568,20968.166366701833
2019-08-04,14375.081896842512,10020.301585303849,18986.878917199498
2019-08-05,23075.038501232466,18125.31836762213,28010.63835340021
2019-08-06,25074.246452469626,20238.430675264914,29527.449874277765
2019-08-07,25010.785114308645,20125.19291322809,29427.94931403837
2019-08-08,24629.888657835036,20125.631835832915,29183.323149625925
2019-08-09,23692.869832460343,18973.201665228957,28214.770980725752
2019-08-10,15240.54788613157,10661.64116348272,20223.460932163194
2019-08-11,13493.00244017478,8946.147487961305,18635.854761942028
2019-08-12,22099.045522948632,17574.7255282649,26727.517030228413
2019-08-13,24019.34382563202,19389.895738754065,28551.865685748475
2019-08-14,23893.102083972895,19004.08760702046,28375.083025590728
2019-08-15,23466.32228643429,19156.77276602811,27941.099144892938
2019-08-16,22500.71393250415,17570.812522773962,26922.073242849503
2019-08-17,14037.11641558411,9781.65623009112,18488.010058947522
2019-08-18,12295.255437687892,7618.04263199071,16719.36576984318
2019-08-19,20923.22559306132,16213.91353745381,25621.501350488536
2019-08-20,22880.63095065188,17886.1421067823,27227.423269098654
2019-08-21,22805.29414259803,18210.94107615138,27554.077154243172
2019-08-22,22441.548109979965,17592.72102612743,27144.674656246432
2019-08-23,21549.18503605983,16652.72618201403,26045.856397634827
2019-08-24,13166.922720322655,8499.446604654944,17764.22717521708
2019-08-25,11512.209366248633,7358.339350926205,16015.135119263652
2019-08-26,20230.75789327999,15609.112099259199,24937.24298342259
2019-08-27,22279.74050293889,17394.263187328143,26691.256797955295
2019-08-28,22294.5528568935,17552.63946483656,26732.135411737625
2019-08-29,22017.16084149521,17609.08081403082,26504.641248871463
2019-08-30,21205.10327020479,16614.30311480679,25628.816622041584
2019-08-31,12895.0096195024,8523.401247946826,17340.34993379105
2019-09-01,11302.452659917657,6564.2031012583875,15935.746707008799
2019-09-02,20071.52604674444,15096.762318110508,24740.69137626918
2019-09-03,22158.076652492775,17630.76202443128,26545.358632236006
2019-09-04,22196.50015251137,17574.224082620436,26670.005807788602
2019-09-05,21928.112127677436,17340.99121570737,26520.99080739544
2019-09-06,21110.16746756734,16336.933426759344,25857.7424311788
2019-09-07,12779.386759417452,8064.417152080486,17204.23912393865
2019-09-08,11151.809281672411,7031.048407757447,15755.157697677278
2019-09-09,19872.362601085028,15517.341785673258,24491.858386718486
2019-09-10,21898.078659392802,17110.697714616294,26296.038327428338
2019-09-11,21864.865151850314,17422.483261596506,26305.95174002034
2019-09-12,21515.844917296978,17002.209813138972,26247.220367111047
2019-09-13,20610.33674683082,15924.247742125643,25444.75545355447
2019-09-14,12187.337073014442,7408.123167081477,16674.32554984912
2019-09-15,10465.323073689597,5889.791992673218,14768.21894524588
2019-09-16,19091.76822625919,14516.629377802949,23665.156222523354
2019-09-17,21026.30133548277,16504.890409792755,25630.926677396747
2019-09-18,20907.419052419387,16471.99778613734,25302.801338232835
2019-09-19,20480.765872393928,15483.590176003898,24900.48490994345
2019-09-20,19508.056313729932,15036.431031519809,24263.972970576895
2019-09-21,11030.500033629638,6425.803645898639,15653.151380779964
2019-09-22,9268.551681035924,4688.00363247984,13563.180257398193
2019-09-23,17871.377732783323,13214.936360423448,22516.349819787996
2019-09-24,19799.97246315239,15021.665852319195,24300.772801424788
2019-09-25,19693.83408414053,15258.60625926446,23879.413047938746
2019-09-26,19299.215931788687,14503.592343821154,23776.748418118743
2019-09-27,18378.02813515206,13462.185490348891,22698.59151033964
2019-09-28,9971.251087871184,5265.367571606835,14281.86852620466
2019-09-29,8298.682900080308,3850.8407485748135,12397.306498541051
2019-09-30,17008.413257022898,12264.494288226233,21540.10510131514
2019-10-01,19059.95581174181,14370.9261476609,23483.128329263385
2019-10-02,19090.949918308517,14577.66573800863,23701.465756745918
2019-10-03,18845.44614590621,14502.78869679554,23222.772496679685
2019-10-04,18082.850376312963,13487.692078766459,22716.721504369616
2019-10-05,9841.386982683543,4917.240792871651,14345.3062234095
2019-10-06,8337.902272436997,3403.9079803065997,12933.186972893458
2019-10-07,17217.39947180159,12423.59321660557,21720.71521435787
2019-10-08,19436.236100020313,15134.14332475572,24099.17973614873
2019-10-09,19628.893154936155,14750.239150650976,24416.642082861723
2019-10-10,19536.329090643794,14656.061107173633,24134.526645110072
2019-10-11,18914.991884962295,14530.725429020702,23718.92811222954
2019-10-12,10800.348178392096,5967.602448695182,15255.99435861159
2019-10-13,9406.749172874017,4683.539870584162,13656.822158361887
2019-10-14,18377.02312906026,13481.604406179165,22613.73356240217
2019-10-15,20665.723959391475,16118.57020239143,25372.798353945505
2019-10-16,20905.944109195076,16689.65377261643,25800.981136227165
2019-10-17,20837.70362561647,16187.578157103859,25495.383659839204
2019-10-18,20216.987808610316,15803.147067244892,24546.423731061957
2019-10-19,12079.291721205991,7309.971100393915,16735.430414540348
2019-10-20,10639.490761705347,6204.799002053499,15113.661362514247
2019-10-21,19541.426883682547,15207.387751684253,24124.092480762116
2019-10-22,21741.139951084304,17357.260908265194,26013.95529850801
2019-10-23,21873.65265613969,17148.89730156267,26691.024131987197
2019-10-24,21681.321381371126,16879.72279164312,26365.86411373758
2019-10-25,20922.82611818355,16082.539586355912,25695.498859064133
2019-10-26,12636.658663110442,7871.449170962777,17218.582493601552
2019-10-27,11040.929445175898,6330.960570428027,15471.207439567575
2019-10-28,19782.883904834773,15276.559416031472,24492.93330667037
2019-10-29,21822.059403360516,17188.41098548788,26408.817618143563
2019-10-30,21796.992705615754,17409.807649194478,26351.74422341236
2019-10-31,21453.492123918124,16700.13254574054,25792.789908929637
2019-11-01,20553.54919262036,16028.337608876003,24914.964134819682
2019-11-02,12138.750858611995,7559.933635760273,16864.984150675813
2019-11-03,10430.014317702044,6122.805290377748,15006.34243968513
2019-11-04,19077.03702549976,14177.227082739719,23510.523896153973
2019-11-05,21041.39449716865,16646.143298888772,25325.661895318277
2019-11-06,20963.19732966563,16271.014995925434,25463.083836088113
2019-11-07,20589.322785889297,15998.392232899188,25266.78179460994
2019-11-08,19682.29684632404,14959.521169144533,24622.137705764115
2019-11-09,11283.688519574418,6831.157766688893,15380.561783105726
2019-11-10,9613.839050514667,4881.429716760207,14111.139759084099
2019-11-11,18321.318891179853,13667.686775303237,22870.398582161226
2019-11-12,20366.04496830864,15936.514557309416,25008.82226816798
2019-11-13,20385.969416587886,15643.287792252308,25003.402891189264
2019-11-14,20125.354529460667,15602.327344159045,24724.600371316857
2019-11-15,19343.708981301555,14652.414677571702,24000.154727884696
2019-11-16,11079.24600486649,6472.814289091679,15213.433814498612
2019-11-17,9548.684823360596,4819.918746257789,14082.398482934901
2019-11-18,18396.786658496745,13678.384642408912,22888.60683636169
2019-11-19,20579.556134697785,15955.898385996417,25126.566394822716
2019-11-20,20731.017401570687,15857.299906862105,25324.54840087996
2019-11-21,20591.57778850801,16258.465811159333,24947.17131512697
